,Order Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit_Range
69,19-01-20,Second Class,DL-12865,Consumer,United States,Keller,Texas,Central,Office Supplies,Labels,6.0,2,0.2,2.1,Low_Profit
71,19-01-20,Second Class,NS-18505,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,31.968,2,0.2,6.3936,Low_Profit
73,19-01-20,Second Class,NS-18505,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Paper,21.696,4,0.2,7.0512,Low_Profit
74,19-01-20,Standard Class,RM-19375,Consumer,United States,Burlington,Vermont,East,Office Supplies,Paper,79.92,4,0.0,37.5624,Medium_profit
75,19-01-20,Standard Class,RM-19375,Consumer,United States,Burlington,Vermont,East,Office Supplies,Paper,12.28,1,0.0,5.7716,Low_Profit
77,19-01-20,Standard Class,RM-19375,Consumer,United States,Burlington,Vermont,East,Office Supplies,Envelopes,2.04,1,0.0,0.9588,Low_Profit
78,20-01-20,Second Class,CV-12805,Corporate,United States,New York City,New York,East,Furniture,Chairs,207.846,3,0.1,2.3094,Low_Profit
79,20-01-20,Standard Class,TH-21100,Consumer,United States,Los Angeles,California,West,Technology,Phones,160.776,3,0.2,10.0485,Low_Profit
80,20-01-20,Standard Class,TM-21010,Consumer,United States,San Francisco,California,West,Office Supplies,Art,24.2,5,0.0,7.986,Low_Profit
82,20-01-20,Standard Class,JF-15490,Consumer,United States,Waterbury,Connecticut,East,Office Supplies,Art,3.52,2,0.0,1.0208,Low_Profit
83,20-01-20,First Class,ML-17410,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Labels,11.52,5,0.2,4.176,Low_Profit
84,21-01-20,Standard Class,DS-13030,Home Office,United States,Seattle,Washington,West,Office Supplies,Storage,242.94,3,0.0,9.7176,Low_Profit
85,21-01-20,Standard Class,DS-13030,Home Office,United States,Seattle,Washington,West,Technology,Accessories,179.97,3,0.0,86.3856,Medium_profit
86,21-01-20,Standard Class,DS-13030,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,99.696,6,0.2,33.6474,Medium_profit
87,21-01-20,Standard Class,DS-13030,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,27.936,4,0.2,9.4284,Low_Profit
88,21-01-20,Standard Class,DS-13030,Home Office,United States,Seattle,Washington,West,Furniture,Bookcases,84.98,1,0.0,18.6956,Low_Profit
89,21-01-20,Standard Class,DS-13030,Home Office,United States,Seattle,Washington,West,Office Supplies,Binders,18.72,5,0.2,6.552,Low_Profit
91,21-01-20,Standard Class,PS-19045,Home Office,United States,Charlotte,North Carolina,South,Office Supplies,Binders,35.784,7,0.7,28.6272,Low_Profit
92,21-01-20,Standard Class,MH-18115,Home Office,United States,Jackson,Michigan,Central,Office Supplies,Binders,14.4,5,0.0,7.056,Low_Profit
94,21-01-20,Standard Class,MH-18115,Home Office,United States,Jackson,Michigan,Central,Office Supplies,Binders,89.52,4,0.0,42.0744,Medium_profit
96,21-01-20,Standard Class,MH-18115,Home Office,United States,Jackson,Michigan,Central,Technology,Phones,164.99,1,0.0,49.497,Medium_profit
97,21-01-20,Standard Class,BE-11410,Consumer,United States,Aurora,Illinois,Central,Office Supplies,Envelopes,268.576,4,0.2,90.6444,Medium_profit
99,22-01-20,Standard Class,AD-10180,Home Office,United States,Great Falls,Montana,West,Office Supplies,Storage,51.45,3,0.0,13.8915,Low_Profit
100,22-01-20,Standard Class,AD-10180,Home Office,United States,Great Falls,Montana,West,Office Supplies,Paper,11.96,2,0.0,5.382,Low_Profit
102,22-01-20,Second Class,EH-13765,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Fasteners,15.12,5,0.2,4.914,Low_Profit
103,22-01-20,Second Class,EH-13765,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Art,7.872,3,0.2,0.8856,Low_Profit
104,23-01-20,First Class,MC-17605,Corporate,United States,Detroit,Michigan,Central,Furniture,Tables,210.98,2,0.0,21.098,Low_Profit
105,23-01-20,Standard Class,CS-12250,Corporate,United States,Seattle,Washington,West,Office Supplies,Binders,19.68,5,0.2,6.888,Low_Profit
106,23-01-20,Standard Class,CS-12250,Corporate,United States,Seattle,Washington,West,Office Supplies,Paper,25.92,4,0.0,12.4416,Low_Profit
107,23-01-20,Standard Class,CS-12250,Corporate,United States,Seattle,Washington,West,Office Supplies,Paper,6.48,1,0.0,3.1104,Low_Profit
108,23-01-20,Standard Class,CS-12250,Corporate,United States,Seattle,Washington,West,Technology,Phones,86.352,6,0.2,8.6352,Low_Profit
109,23-01-20,Standard Class,HP-14815,Home Office,United States,Tucson,Arizona,West,Technology,Accessories,95.984,2,0.2,11.998,Low_Profit
110,23-01-20,Standard Class,HP-14815,Home Office,United States,Tucson,Arizona,West,Office Supplies,Binders,4.938,2,0.7,3.6212,Low_Profit
111,24-01-20,Standard Class,TP-21130,Consumer,United States,Smyrna,Georgia,South,Office Supplies,Fasteners,5.67,3,0.0,0.1134,Low_Profit
112,24-01-20,Standard Class,KD-16495,Corporate,United States,San Jose,California,West,Office Supplies,Appliances,25.86,3,0.0,6.7236,Low_Profit
113,24-01-20,Standard Class,KD-16495,Corporate,United States,San Jose,California,West,Office Supplies,Binders,276.784,2,0.2,89.9548,Medium_profit
114,24-01-20,Standard Class,KD-16495,Corporate,United States,San Jose,California,West,Technology,Phones,110.352,3,0.2,8.2764,Low_Profit
115,26-01-20,Second Class,CA-11965,Corporate,United States,Hoover,Alabama,South,Office Supplies,Art,15.47,7,0.0,4.1769,Low_Profit
116,26-01-20,Second Class,CA-11965,Corporate,United States,Hoover,Alabama,South,Office Supplies,Binders,7.16,2,0.0,3.4368,Low_Profit
117,26-01-20,First Class,CG-12520,Consumer,United States,Houston,Texas,Central,Office Supplies,Storage,18.16,2,0.2,1.816,Low_Profit
118,26-01-20,Standard Class,CJ-12010,Consumer,United States,San Francisco,California,West,Office Supplies,Fasteners,11.84,8,0.0,5.6832,Low_Profit
119,26-01-20,Standard Class,BD-11500,Consumer,United States,Columbus,Georgia,South,Furniture,Furnishings,62.72,4,0.0,24.4608,Low_Profit
121,27-01-20,Second Class,JH-15820,Consumer,United States,Kent,Ohio,East,Office Supplies,Art,14.016,3,0.2,1.752,Low_Profit
122,27-01-20,Second Class,JH-15820,Consumer,United States,Kent,Ohio,East,Technology,Accessories,71.976,3,0.2,8.997,Low_Profit
123,27-01-20,Second Class,JH-15820,Consumer,United States,Kent,Ohio,East,Technology,Phones,107.982,3,0.4,26.9955,Low_Profit
124,27-01-20,Standard Class,TG-21310,Consumer,United States,New York City,New York,East,Technology,Phones,137.94,3,0.0,35.8644,Medium_profit
125,28-01-20,Second Class,BT-11305,Home Office,United States,Costa Mesa,California,West,Technology,Accessories,239.97,3,0.0,26.3967,Low_Profit
126,28-01-20,Second Class,BT-11305,Home Office,United States,Costa Mesa,California,West,Furniture,Furnishings,37.74,3,0.0,12.8316,Low_Profit
127,28-01-20,Standard Class,GB-14575,Consumer,United States,Wichita,Kansas,Central,Office Supplies,Paper,279.9,5,0.0,137.151,Medium_profit
129,29-01-20,Standard Class,CK-12595,Consumer,United States,Chicago,Illinois,Central,Office Supplies,Binders,12.128,4,0.8,20.6176,Low_Profit
130,29-01-20,Standard Class,VG-21790,Consumer,United States,San Francisco,California,West,Office Supplies,Art,8.34,3,0.0,2.1684,Low_Profit
131,29-01-20,Standard Class,VG-21790,Consumer,United States,San Francisco,California,West,Office Supplies,Supplies,8.57,1,0.0,2.2282,Low_Profit
132,29-01-20,Standard Class,VG-21790,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,119.616,8,0.2,40.3704,Medium_profit
133,29-01-20,Standard Class,RD-19585,Consumer,United States,New York City,New York,East,Office Supplies,Labels,5.22,2,0.0,2.4012,Low_Profit
134,29-01-20,First Class,BD-11770,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,4.768,2,0.2,0.4768,Low_Profit
135,29-01-20,Second Class,TM-21010,Consumer,United States,Marion,Iowa,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,Low_Profit
136,29-01-20,Second Class,TM-21010,Consumer,United States,Marion,Iowa,Central,Office Supplies,Paper,94.85,5,0.0,45.528,Medium_profit
137,29-01-20,Second Class,TM-21010,Consumer,United States,Marion,Iowa,Central,Office Supplies,Storage,13.48,1,0.0,3.5048,Low_Profit
138,29-01-20,Second Class,TM-21010,Consumer,United States,Marion,Iowa,Central,Furniture,Furnishings,14.91,3,0.0,4.6221,Low_Profit
139,30-01-20,Standard Class,BV-11245,Corporate,United States,Des Moines,Iowa,Central,Office Supplies,Binders,18.28,2,0.0,9.14,Low_Profit
140,30-01-20,Standard Class,BV-11245,Corporate,United States,Des Moines,Iowa,Central,Technology,Phones,207.0,3,0.0,51.75,Medium_profit
141,30-01-20,Standard Class,BV-11245,Corporate,United States,Des Moines,Iowa,Central,Office Supplies,Binders,32.35,5,0.0,16.175,Low_Profit
142,30-01-20,Standard Class,BV-11245,Corporate,United States,Des Moines,Iowa,Central,Office Supplies,Binders,7.71,1,0.0,3.4695,Low_Profit
143,30-01-20,Standard Class,BV-11245,Corporate,United States,Des Moines,Iowa,Central,Office Supplies,Art,40.3,2,0.0,10.881,Low_Profit
144,30-01-20,Standard Class,BV-11245,Corporate,United States,Des Moines,Iowa,Central,Furniture,Furnishings,34.58,7,0.0,14.5236,Low_Profit
145,30-01-20,Same Day,MM-17920,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,129.3,2,0.0,6.465,Low_Profit
146,30-01-20,Standard Class,EH-14125,Home Office,United States,San Francisco,California,West,Office Supplies,Art,12.74,7,0.0,5.733,Low_Profit
147,30-01-20,Standard Class,EH-14125,Home Office,United States,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.3814,Low_Profit
148,30-01-20,Standard Class,EH-14125,Home Office,United States,San Francisco,California,West,Furniture,Chairs,120.784,1,0.2,13.5882,Low_Profit
150,30-01-20,Standard Class,LP-17095,Consumer,United States,Aurora,Illinois,Central,Furniture,Tables,69.375,1,0.5,47.175,Medium_profit
151,30-01-20,Standard Class,LP-17095,Consumer,United States,Aurora,Illinois,Central,Office Supplies,Supplies,31.68,4,0.2,2.772,Low_Profit
153,30-01-20,Standard Class,LP-17095,Consumer,United States,Aurora,Illinois,Central,Office Supplies,Art,9.344,2,0.2,3.1536,Low_Profit
155,02-02-20,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,11.994,Low_Profit
156,02-02-20,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,Low_Profit
157,02-02-20,First Class,DW-13585,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,Low_Profit
158,02-02-20,Standard Class,JL-15835,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,86.26,2,0.0,29.3284,Low_Profit
159,02-02-20,Standard Class,JL-15835,Consumer,United States,Los Angeles,California,West,Office Supplies,Storage,139.04,4,0.0,38.9312,Medium_profit
160,02-02-20,Standard Class,JL-15835,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,46.8,4,0.0,16.38,Low_Profit
161,02-02-20,Standard Class,BO-11350,Corporate,United States,San Diego,California,West,Furniture,Furnishings,210.58,2,0.0,12.6348,Low_Profit
162,02-02-20,Standard Class,BO-11350,Corporate,United States,San Diego,California,West,Office Supplies,Binders,30.96,2,0.2,10.062,Low_Profit
163,02-02-20,Standard Class,BO-11350,Corporate,United States,San Diego,California,West,Technology,Machines,239.984,2,0.2,38.9974,Medium_profit
164,03-02-20,Standard Class,MC-17575,Consumer,United States,Cincinnati,Ohio,East,Office Supplies,Binders,5.229,3,0.7,4.1832,Low_Profit
165,03-02-20,Standard Class,MC-17575,Consumer,United States,Cincinnati,Ohio,East,Office Supplies,Storage,285.552,2,0.2,35.694,Medium_profit
166,03-02-20,Standard Class,SC-20380,Consumer,United States,Pembroke Pines,Florida,South,Office Supplies,Binders,3.882,2,0.7,2.588,Low_Profit
167,03-02-20,Standard Class,SC-20380,Consumer,United States,Pembroke Pines,Florida,South,Office Supplies,Paper,115.296,3,0.2,40.3536,Medium_profit
168,03-02-20,Second Class,RD-19810,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,5.184,1,0.2,1.8144,Low_Profit
169,03-02-20,Second Class,RD-19810,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,65.584,2,0.2,23.7742,Low_Profit
170,03-02-20,Second Class,RD-19810,Home Office,United States,Chicago,Illinois,Central,Furniture,Furnishings,22.2,1,0.6,26.085,Low_Profit
172,04-02-20,Standard Class,JF-15355,Consumer,United States,Rochester,New York,East,Office Supplies,Appliances,32.67,3,0.0,8.4942,Low_Profit
174,05-02-20,Second Class,CB-12025,Consumer,United States,Waco,Texas,Central,Office Supplies,Art,7.12,5,0.2,0.712,Low_Profit
178,06-02-20,Standard Class,BD-11770,Consumer,United States,New York City,New York,East,Furniture,Bookcases,240.784,1,0.2,30.098,Medium_profit
179,06-02-20,Standard Class,SP-20545,Corporate,United States,New York City,New York,East,Technology,Phones,227.46,6,0.0,65.9634,Medium_profit
180,06-02-20,Standard Class,SP-20545,Corporate,United States,New York City,New York,East,Office Supplies,Binders,46.24,4,0.2,15.606,Low_Profit
181,06-02-20,Standard Class,SN-20560,Home Office,United States,San Francisco,California,West,Office Supplies,Paper,29.9,5,0.0,13.455,Low_Profit
183,09-02-20,Standard Class,TP-21415,Consumer,United States,Houston,Texas,Central,Technology,Accessories,127.984,2,0.2,15.998,Low_Profit
184,09-02-20,Standard Class,TP-21415,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,3.984,2,0.6,2.6892,Low_Profit
185,09-02-20,Standard Class,TP-21415,Consumer,United States,Houston,Texas,Central,Office Supplies,Appliances,12.992,2,0.8,32.48,Medium_profit
186,09-02-20,Second Class,ML-17395,Corporate,United States,Los Angeles,California,West,Furniture,Furnishings,21.12,4,0.0,6.5472,Low_Profit
188,10-02-20,Standard Class,MP-18175,Home Office,United States,Laguna Niguel,California,West,Furniture,Bookcases,203.983,2,0.15,16.7986,Low_Profit
189,10-02-20,First Class,MN-17935,Consumer,United States,Clinton,Maryland,East,Office Supplies,Paper,23.12,4,0.0,11.3288,Low_Profit
190,11-02-20,Second Class,VW-21775,Corporate,United States,San Francisco,California,West,Office Supplies,Binders,21.336,7,0.2,7.7343,Low_Profit
192,11-02-20,Second Class,CS-11845,Corporate,United States,Seattle,Washington,West,Technology,Phones,88.776,3,0.2,7.7679,Low_Profit
193,11-02-20,Standard Class,DJ-13510,Corporate,United States,New York City,New York,East,Office Supplies,Labels,20.7,2,0.0,9.936,Low_Profit
194,11-02-20,First Class,MM-17260,Consumer,United States,Columbus,Ohio,East,Furniture,Furnishings,147.568,2,0.2,3.6892,Low_Profit
195,13-02-20,Standard Class,FH-14350,Consumer,United States,Seattle,Washington,West,Office Supplies,Art,6.63,3,0.0,1.7901,Low_Profit
197,13-02-20,Standard Class,FH-14350,Consumer,United States,Seattle,Washington,West,Furniture,Furnishings,107.53,1,0.0,21.506,Low_Profit
198,13-02-20,Standard Class,SV-20785,Consumer,United States,Baltimore,Maryland,East,Office Supplies,Supplies,25.02,3,0.0,6.5052,Low_Profit
199,13-02-20,Standard Class,SV-20785,Consumer,United States,Baltimore,Maryland,East,Office Supplies,Art,10.71,3,0.0,2.7846,Low_Profit
200,13-02-20,Standard Class,JP-15460,Corporate,United States,New York City,New York,East,Office Supplies,Paper,17.94,3,0.0,8.7906,Low_Profit
201,13-02-20,Standard Class,MH-17455,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Appliances,90.64,8,0.0,38.9752,Medium_profit
202,16-02-20,Standard Class,LF-17185,Consumer,United States,New York City,New York,East,Office Supplies,Paper,37.94,2,0.0,18.2112,Low_Profit
204,16-02-20,Standard Class,NG-18355,Corporate,United States,Fairfield,Connecticut,East,Technology,Phones,14.99,1,0.0,7.3451,Low_Profit
205,16-02-20,Standard Class,JS-16030,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Fasteners,18.368,2,0.2,6.1992,Low_Profit
207,16-02-20,Standard Class,JS-16030,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Storage,50.352,3,0.2,8.1822,Low_Profit
208,16-02-20,Standard Class,JS-16030,Consumer,United States,Decatur,Illinois,Central,Office Supplies,Art,28.032,6,0.2,3.504,Low_Profit
209,16-02-20,Standard Class,JS-16030,Consumer,United States,Decatur,Illinois,Central,Furniture,Furnishings,7.692,1,0.6,3.6537,Low_Profit
211,17-02-20,Standard Class,JK-16120,Home Office,United States,Chicago,Illinois,Central,Technology,Phones,124.792,1,0.2,10.9193,Low_Profit
212,17-02-20,Second Class,LL-16840,Consumer,United States,Lafayette,Louisiana,South,Technology,Phones,29.16,3,0.0,8.4564,Low_Profit
213,17-02-20,Standard Class,GH-14410,Home Office,United States,Perth Amboy,New Jersey,East,Office Supplies,Paper,11.76,2,0.0,5.7624,Low_Profit
214,17-02-20,Standard Class,GH-14410,Home Office,United States,Perth Amboy,New Jersey,East,Office Supplies,Storage,166.45,5,0.0,39.948,Medium_profit
215,17-02-20,First Class,CR-12820,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,89.0664,1,0.32,17.0274,Low_Profit
216,17-02-20,First Class,CR-12820,Home Office,United States,Houston,Texas,Central,Office Supplies,Art,175.44,6,0.2,52.632,Medium_profit
219,17-02-20,First Class,CK-12325,Home Office,United States,Troy,Ohio,East,Office Supplies,Binders,5.715,5,0.7,4.7625,Low_Profit
220,17-02-20,First Class,CK-12325,Home Office,United States,Troy,Ohio,East,Technology,Phones,57.594,1,0.4,11.5188,Low_Profit
221,17-02-20,First Class,CK-12325,Home Office,United States,Troy,Ohio,East,Furniture,Furnishings,30.144,2,0.2,8.2896,Low_Profit
223,18-02-20,Second Class,CV-12805,Corporate,United States,Los Angeles,California,West,Technology,Phones,167.976,3,0.2,10.4985,Low_Profit
224,18-02-20,Second Class,CV-12805,Corporate,United States,Los Angeles,California,West,Technology,Accessories,109.53,3,0.0,47.0979,Medium_profit
225,18-02-20,Second Class,CV-12805,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,9.82,2,0.0,4.8118,Low_Profit
227,19-02-20,Standard Class,ME-17725,Consumer,United States,Seattle,Washington,West,Office Supplies,Fasteners,11.22,3,0.0,0.2244,Low_Profit
228,19-02-20,First Class,ED-13885,Home Office,United States,Los Angeles,California,West,Office Supplies,Art,12.84,3,0.0,3.4668,Low_Profit
229,19-02-20,First Class,ED-13885,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,44.67,3,0.0,12.0609,Low_Profit
230,20-02-20,First Class,HW-14935,Corporate,United States,San Diego,California,West,Furniture,Furnishings,22.23,1,0.0,7.3359,Low_Profit
231,20-02-20,First Class,HW-14935,Corporate,United States,San Diego,California,West,Technology,Phones,215.968,2,0.2,18.8972,Low_Profit
232,20-02-20,Standard Class,JP-16135,Home Office,United States,Muskogee,Oklahoma,Central,Office Supplies,Art,6.56,2,0.0,1.9024,Low_Profit
233,20-02-20,Standard Class,JP-16135,Home Office,United States,Muskogee,Oklahoma,Central,Office Supplies,Appliances,13.11,3,0.0,3.4086,Low_Profit
234,20-02-20,Second Class,BP-11095,Corporate,United States,Louisville,Colorado,West,Office Supplies,Fasteners,9.432,3,0.2,3.0654,Low_Profit
236,20-02-20,Standard Class,KM-16375,Home Office,United States,Gilbert,Arizona,West,Technology,Accessories,31.992,1,0.2,4.7988,Low_Profit
237,20-02-20,Standard Class,KM-16375,Home Office,United States,Gilbert,Arizona,West,Office Supplies,Storage,51.168,2,0.2,6.396,Low_Profit
